building_name,timestamp,month,kwh
D_block,2024-01-01 00:00:00,1,29.1
D_block,2024-01-01 08:00:00,1,25.3
D_block,2024-01-01 16:00:00,1,36.7
D_block,2024-01-02 00:00:00,1,27.9
D_block,2024-01-02 08:00:00,1,23.8
D_block,2024-01-02 16:00:00,1,35.1
D_block,2024-01-03 00:00:00,1,28.6
D_block,2024-01-03 08:00:00,1,24.1
D_block,2024-01-03 16:00:00,1,37.4
D_block,2024-01-04 00:00:00,1,30.2
D_block,2024-01-04 08:00:00,1,25.7
D_block,2024-01-04 16:00:00,1,38.3
D_block,2024-01-05 00:00:00,1,29.5
D_block,2024-01-05 08:00:00,1,24.9
D_block,2024-01-05 16:00:00,1,37.8
D_block,2024-01-06 00:00:00,1,30.4
D_block,2024-01-06 08:00:00,1,26.2
D_block,2024-01-06 16:00:00,1,39.0
D_block,2024-01-07 00:00:00,1,28.8
D_block,2024-01-07 08:00:00,1,23.9
D_block,2024-01-07 16:00:00,1,36.2
D_block,2024-01-08 00:00:00,1,29.9
D_block,2024-01-08 08:00:00,1,25.5
D_block,2024-01-08 16:00:00,1,38.7
D_block,2024-01-09 00:00:00,1,28.3
D_block,2024-01-09 08:00:00,1,24.4
D_block,2024-01-09 16:00:00,1,37.1
D_block,2024-01-10 00:00:00,1,30.6
D_block,2024-01-10 08:00:00,1,26.1
D_block,2024-01-10 16:00:00,1,39.4
